"Date","Price","Open","High","Low","Vol.","Change %"
"10/24/2024","17.97","18.40","18.40","17.69","2.83M","0.00%"
"10/23/2024","17.97","16.50","18.22","16.30","9.89M","9.57%"
"10/22/2024","16.40","17.05","17.38","16.35","6.55M","-2.38%"
"10/21/2024","16.80","15.40","16.80","15.40","10.23M","9.95%"
"10/18/2024","15.28","14.81","15.40","14.40","5.12M","-1.55%"
"10/17/2024","15.52","14.70","15.52","14.45","9.55M","7.63%"
"10/16/2024","14.42","14.85","14.85","14.37","532.70K","-0.41%"
"10/15/2024","14.48","14.90","15.00","14.41","1.11M","-0.82%"
"10/14/2024","14.60","14.40","14.85","14.20","664.63K","1.74%"
"10/11/2024","14.35","14.60","14.60","14.02","345.24K","-0.83%"
"10/10/2024","14.47","14.70","14.82","14.06","1.60M","-0.89%"
"10/09/2024","14.60","14.50","14.72","14.25","1.11M","1.46%"
"10/08/2024","14.39","14.40","14.44","14.10","475.16K","0.35%"
"10/07/2024","14.34","14.25","14.50","14.25","695.89K","0.35%"
"10/04/2024","14.29","14.01","14.33","13.91","1.41M","0.42%"
"10/03/2024","14.23","14.40","14.40","13.92","966.76K","-0.07%"
"10/02/2024","14.24","14.25","14.79","14.01","1.56M","-0.56%"
"10/01/2024","14.32","14.00","14.49","13.92","1.34M","2.29%"
"09/30/2024","14.00","14.00","14.05","13.85","664.44K","0.21%"
"09/27/2024","13.97","13.95","14.15","13.82","692.28K","0.50%"
"09/26/2024","13.90","14.10","14.10","13.81","1.66M","0.72%"
"09/25/2024","13.80","14.00","14.10","13.75","585.12K","-1.08%"
"09/24/2024","13.95","14.00","14.02","13.57","356.15K","0.00%"
"09/23/2024","13.95","14.15","14.30","13.91","536.54K","-1.55%"
"09/20/2024","14.17","14.40","14.40","14.10","377.28K","-0.28%"
"09/19/2024","14.21","14.70","14.75","14.21","1.03M","-2.27%"
"09/18/2024","14.54","14.00","15.30","13.95","8.85M","4.01%"
"09/16/2024","13.98","13.50","13.99","13.40","1.24M","3.94%"
"09/13/2024","13.45","13.65","14.25","13.25","2.07M","-1.39%"
"09/12/2024","13.64","13.03","13.70","13.03","1.62M","5.41%"
"09/11/2024","12.94","13.12","13.30","12.94","456.70K","-1.22%"
"09/10/2024","13.10","13.16","13.60","13.05","1.27M","-0.46%"
"09/09/2024","13.16","13.10","13.32","13.06","570.99K","1.23%"
"09/06/2024","13.00","12.65","13.43","12.65","2.64M","2.36%"
"09/05/2024","12.70","12.75","13.29","12.55","1.33M","0.00%"
"09/04/2024","12.70","12.60","13.00","12.60","1.51M","-0.39%"
"09/03/2024","12.75","12.92","13.04","12.70","425.50K","-1.54%"
"09/02/2024","12.95","13.05","13.30","12.90","931.42K","-1.75%"
"08/30/2024","13.18","13.01","13.43","13.01","486.89K","0.61%"
"08/29/2024","13.10","13.16","13.50","12.95","1.16M","-1.13%"
"08/28/2024","13.25","13.28","13.75","13.20","457.17K","-1.78%"
"08/27/2024","13.49","13.62","13.75","13.46","449.68K","-0.15%"
"08/26/2024","13.51","14.16","14.16","13.50","482.57K","-4.18%"
"08/23/2024","14.10","13.99","14.45","13.99","633.88K","0.36%"
"08/22/2024","14.05","14.20","14.43","14.02","645.30K","-1.06%"
"08/21/2024","14.20","13.65","14.43","13.65","3.34M","4.41%"
"08/20/2024","13.60","13.40","13.77","13.35","1.25M","0.74%"
"08/19/2024","13.50","13.71","13.94","13.25","1.25M","-1.82%"
"08/16/2024","13.75","14.40","14.87","13.75","8.54M","-4.84%"
"08/15/2024","14.45","14.26","14.69","14.22","1.61M","2.05%"
"08/13/2024","14.16","14.20","14.48","13.99","1.38M","0.43%"
"08/12/2024","14.10","14.70","14.70","14.10","423.89K","-4.08%"
"08/09/2024","14.70","14.87","14.87","14.42","2.60M","-0.34%"
"08/08/2024","14.75","14.90","14.98","14.50","3.39M","-1.67%"
"08/07/2024","15.00","14.95","15.31","14.75","1.84M","0.67%"
"08/06/2024","14.90","14.95","15.25","14.77","616.97K","0.68%"
